class,animus1,animus1_rarity,animus1_upgrade_level,animus2,animus2_rarity,animus2_upgrade_level,bane,malice_orbs,mission_district,mission_type,outcome,kills,weapon_kills,thrash_kills,malediction_kills,annihilation_kills,deaths,perfect_infusions,failed_infusions,times_dodged,duration_seconds
Arcanist,Bolt Action Rifles,Green,15,Machine Guns,Purple,1,Soul Reaper,8,Foundry Sector,Eclipse Protocol,Extracted,11,8,2,1,0,1,0,2,18,776
Hellion,Automatic Rifles,Green,7,Bolt Action Rifles,White,0,Soul Reaper,14,Military District,Elite Incursion,Extracted,20,13,4,3,0,0,1,1,7,470
Hellion,Trench Guns,Purple,4,Revolvers,Orange,0,Fear & Loathing,12,Foundry Sector,Lair,Fallen,18,11,5,2,0,5,1,0,23,705
Immortal,Bolt Action Rifles,White,0,Bolt Action Rifles,Blue,1,Wurm Food,10,Military District,Lair,Extracted,4,4,0,0,0,0,2,2,6,274
Monolith,Machine Guns,Green,8,Trench Guns,Purple,3,Wurm Food,14,Military District,Eclipse Protocol,Fallen,10,7,2,1,0,2,1,0,7,546
Wraith,Trench Guns,Purple,4,Revolvers,Green,3,Warden,15,Military District,Lair,Fallen,27,15,8,3,1,4,3,4,20,798
Occultist,Automatic Rifles,White,0,Bolt Action Rifles,Green,2,Farsight,12,Marketplace,Eclipse Protocol,Fallen,28,19,5,2,2,5,3,0,23,922
Hellion,Bolt Action Rifles,White,0,Automatic Rifles,Purple,5,Wolfpack,9,Aristocratic Ward,Incursion,Extracted,29,19,6,4,0,1,1,0,38,1098
Monolith,Automatic Rifles,White,0,Lever Action Rifles,Green,4,Lunar Warhorn,10,Foundry Sector,Invasion,Fallen,28,16,8,3,1,2,3,3,19,802
Wraith,Lever Action Rifles,Green,2,Trench Guns,Green,13,Theory of Captivity,0,Wilderness,Lair,Extracted,8,7,1,0,0,2,1,0,12,535
Wraith,Revolvers,Green,3,Revolvers,White,0,Wurm Food,7,Marketplace,Eclipse Protocol,Extracted,16,12,3,1,0,0,1,3,15,629
Wraith,Trench Guns,Green,9,Bolt Action Rifles,Purple,1,Postmaster,7,Aristocratic Ward,Elite Incursion,Fallen,3,3,0,0,0,4,0,1,1,113
Immortal,Machine Guns,White,0,Automatic Rifles,Blue,2,Wolfpack,13,Iron Slums,Eclipse Protocol,Fallen,20,14,4,2,0,2,1,2,29,1186
Occultist,Trench Guns,Blue,2,Automatic Rifles,Purple,4,Wolfpack,5,Iron Slums,Elite Incursion,Extracted,7,6,1,0,0,0,2,1,21,683
Immortal,Trench Guns,White,0,Bolt Action Rifles,Orange,0,Wolfpack,9,Iron Slums,Invasion,Extracted,4,4,0,0,0,3,1,2,3,166
Monolith,Machine Guns,Green,3,Machine Guns,Green,13,Postmaster,8,Military District,Incursion,Extracted,8,7,1,0,0,0,2,3,5,277
Immortal,Automatic Rifles,White,0,Trench Guns,Purple,4,Wurm Food,6,Aristocratic Ward,Incursion,Extracted,12,8,2,1,1,0,0,1,8,336
Wraith,Lever Action Rifles,White,0,Lever Action Rifles,White,0,Korzuul's Head,10,Marketplace,Lair,Extracted,2,2,0,0,0,2,0,0,5,194
Hellion,Machine Guns,Blue,8,Machine Guns,Green,3,Wurm Food,14,Aristocratic Ward,Incursion,Extracted,11,7,2,2,0,0,0,1,9,543
Arcanist,Revolvers,White,0,Automatic Rifles,Green,11,Postmaster,6,Wilderness,Invasion,Extracted,11,8,2,1,0,0,2,3,11,488
Immortal,Bolt Action Rifles,Green,10,Revolvers,Orange,0,Wolfpack,8,Marketplace,Invasion,Fallen,14,9,3,2,0,1,2,1,11,430
Immortal,Trench Guns,Purple,3,Revolvers,Green,4,Farsight,8,Iron Slums,Invasion,Extracted,28,17,6,5,0,2,1,2,22,845
Occultist,Machine Guns,Blue,8,Revolvers,Green,10,Theory of Captivity,9,Foundry Sector,Lair,Extracted,29,20,4,2,3,0,3,4,13,964
Arcanist,Lever Action Rifles,White,0,Machine Guns,Blue,1,Theory of Captivity,9,Iron Slums,Eclipse Protocol,Extracted,42,29,6,5,2,1,4,3,40,1441
Hellion,Revolvers,White,0,Machine Guns,Blue,5,Korzuul's Head,8,Wilderness,Incursion,Extracted,40,23,11,6,0,0,2,4,34,978
Immortal,Trench Guns,Purple,3,Trench Guns,Purple,5,Soul Reaper,6,Marketplace,Invasion,Fallen,21,13,4,4,0,3,2,1,25,750
Monolith,Machine Guns,White,0,Automatic Rifles,White,0,Lunar Warhorn,12,Military District,Elite Incursion,Extracted,3,3,0,0,0,0,1,2,3,90
Occultist,Bolt Action Rifles,Purple,5,Bolt Action Rifles,Blue,1,Postmaster,6,Marketplace,Lair,Extracted,16,11,2,3,0,2,1,0,8,477
Arcanist,Machine Guns,Orange,0,Revolvers,White,0,Postmaster,10,Military District,Lair,Extracted,62,41,11,9,1,0,4,5,43,1248
Occultist,Lever Action Rifles,Orange,0,Lever Action Rifles,Blue,7,Wolfpack,6,Wilderness,Lair,Extracted,40,25,9,5,1,2,3,1,49,1416
Monolith,Machine Guns,Green,3,Automatic Rifles,Orange,0,Wurm Food,6,Marketplace,Eclipse Protocol,Extracted,31,20,7,4,0,1,4,4,19,1010
Occultist,Trench Guns,White,0,Revolvers,Green,7,Lunar Warhorn,7,Marketplace,Lair,Extracted,42,26,6,7,3,2,2,2,38,1111
Monolith,Lever Action Rifles,Orange,0,Automatic Rifles,Blue,2,Fear & Loathing,8,Military District,Incursion,Extracted,22,15,6,1,0,1,1,0,44,1313
Monolith,Lever Action Rifles,Green,1,Trench Guns,Purple,4,Soul Reaper,10,Iron Slums,Invasion,Extracted,56,35,13,7,1,1,3,5,21,1279
Occultist,Lever Action Rifles,White,0,Lever Action Rifles,Green,11,Wurm Food,8,Foundry Sector,Invasion,Extracted,40,27,7,5,1,2,3,3,14,1023
Hellion,Automatic Rifles,Green,7,Bolt Action Rifles,Orange,0,Wurm Food,12,Marketplace,Invasion,Extracted,17,12,2,2,1,1,3,2,16,571
Wraith,Machine Guns,White,0,Bolt Action Rifles,Green,3,Theory of Captivity,4,Military District,Invasion,Extracted,25,16,6,3,0,0,3,3,17,948
Hellion,Machine Guns,Blue,10,Bolt Action Rifles,White,0,Fear & Loathing,15,Wilderness,Incursion,Extracted,44,31,7,5,1,0,4,5,28,892
Occultist,Trench Guns,White,0,Lever Action Rifles,Blue,5,Soul Reaper,11,Marketplace,Invasion,Fallen,50,30,9,5,6,4,6,3,48,2725
Monolith,Automatic Rifles,Green,3,Revolvers,Green,4,Farsight,6,Iron Slums,Incursion,Extracted,4,4,0,0,0,0,2,1,7,272
Occultist,Trench Guns,Purple,4,Bolt Action Rifles,Orange,0,Korzuul's Head,5,Foundry Sector,Invasion,Extracted,10,7,2,1,0,2,1,1,8,315
Hellion,Lever Action Rifles,White,0,Machine Guns,Purple,4,Farsight,11,Wilderness,Elite Incursion,Fallen,7,6,1,0,0,2,2,4,4,149
Hellion,Automatic Rifles,White,0,Revolvers,White,0,Farsight,13,Wilderness,Elite Incursion,Extracted,5,4,1,0,0,2,2,1,7,329
Hellion,Revolvers,Green,14,Automatic Rifles,Blue,10,Postmaster,6,Iron Slums,Lair,Extracted,35,22,7,5,1,2,2,2,22,774
Occultist,Machine Guns,White,0,Machine Guns,Green,13,Lunar Warhorn,6,Marketplace,Lair,Extracted,9,7,1,1,0,1,2,1,5,257
Immortal,Automatic Rifles,Blue,8,Lever Action Rifles,Blue,7,Soul Reaper,0,Iron Slums,Elite Incursion,Extracted,2,2,0,0,0,0,0,1,1,80
Immortal,Automatic Rifles,Blue,5,Lever Action Rifles,Green,3,Lunar Warhorn,8,Marketplace,Incursion,Extracted,32,19,6,5,2,0,3,1,18,1278
Immortal,Trench Guns,Blue,8,Revolvers,Blue,2,Farsight,14,Iron Slums,Elite Incursion,Fallen,18,13,2,3,0,2,0,1,36,1065
Arcanist,Trench Guns,Purple,1,Bolt Action Rifles,Purple,5,Warden,9,Military District,Incursion,Extracted,2,2,0,0,0,1,0,0,2,98
Monolith,Trench Guns,White,0,Automatic Rifles,White,0,Lunar Warhorn,9,Marketplace,Invasion,Fallen,11,9,1,1,0,4,2,2,27,871
Arcanist,Automatic Rifles,Green,4,Trench Guns,Blue,6,Wolfpack,8,Military District,Eclipse Protocol,Extracted,22,15,4,3,0,0,3,1,23,755
Arcanist,Automatic Rifles,Blue,3,Lever Action Rifles,Blue,4,Theory of Captivity,8,Aristocratic Ward,Eclipse Protocol,Extracted,27,16,7,4,0,0,2,1,33,1418
Hellion,Revolvers,Blue,4,Machine Guns,White,0,Fear & Loathing,4,Aristocratic Ward,Incursion,Extracted,46,25,10,5,6,0,3,6,55,2568
Occultist,Trench Guns,White,0,Trench Guns,White,0,Fear & Loathing,8,Iron Slums,Incursion,Fallen,20,14,3,3,0,2,1,1,27,893
Hellion,Revolvers,Purple,4,Lever Action Rifles,White,0,Theory of Captivity,14,Military District,Eclipse Protocol,Extracted,21,14,3,1,3,0,1,3,13,925
Wraith,Revolvers,Blue,2,Trench Guns,Green,5,Warden,4,Marketplace,Incursion,Extracted,14,10,2,2,0,0,3,2,10,519
Wraith,Trench Guns,White,0,Automatic Rifles,White,0,Korzuul's Head,10,Marketplace,Elite Incursion,Extracted,31,19,8,3,1,2,4,2,25,828
Monolith,Machine Guns,White,0,Machine Guns,White,0,Wolfpack,10,Marketplace,Incursion,Extracted,17,11,3,3,0,1,4,2,10,396
Immortal,Automatic Rifles,Blue,3,Machine Guns,White,0,Postmaster,10,Wilderness,Incursion,Extracted,24,16,4,4,0,0,1,3,7,563
Arcanist,Machine Guns,Orange,0,Revolvers,Blue,4,Korzuul's Head,12,Marketplace,Incursion,Fallen,25,16,6,3,0,4,1,2,24,772
Arcanist,Bolt Action Rifles,Green,12,Trench Guns,Green,7,Wurm Food,4,Aristocratic Ward,Lair,Extracted,17,10,3,2,2,1,2,3,16,685
Hellion,Bolt Action Rifles,Purple,3,Revolvers,Green,10,Farsight,12,Military District,Elite Incursion,Fallen,10,8,1,1,0,2,2,2,6,231
Arcanist,Automatic Rifles,Blue,9,Revolvers,Orange,0,Wurm Food,7,Iron Slums,Incursion,Extracted,27,17,5,5,0,0,1,1,35,1429
Immortal,Revolvers,Blue,5,Automatic Rifles,Green,9,Postmaster,6,Military District,Incursion,Extracted,28,18,6,3,1,1,2,2,24,914
Arcanist,Automatic Rifles,White,0,Machine Guns,Blue,9,Warden,13,Wilderness,Eclipse Protocol,Extracted,15,9,4,2,0,1,2,0,16,1238
Arcanist,Lever Action Rifles,Green,7,Lever Action Rifles,White,0,Soul Reaper,7,Wilderness,Incursion,Extracted,3,3,0,0,0,1,1,2,3,132
Wraith,Bolt Action Rifles,Blue,2,Lever Action Rifles,White,0,Postmaster,11,Wilderness,Eclipse Protocol,Extracted,10,8,2,0,0,0,1,1,10,554
Hellion,Revolvers,Blue,10,Machine Guns,Blue,4,Warden,13,Iron Slums,Incursion,Extracted,3,3,0,0,0,1,0,0,6,200
Immortal,Machine Guns,White,0,Trench Guns,Purple,2,Warden,8,Iron Slums,Eclipse Protocol,Fallen,19,14,3,2,0,1,1,0,11,656
Hellion,Lever Action Rifles,White,0,Lever Action Rifles,White,0,Theory of Captivity,6,Aristocratic Ward,Incursion,Extracted,32,22,5,5,0,1,5,1,27,841
Hellion,Automatic Rifles,Green,11,Automatic Rifles,Blue,7,Wurm Food,14,Aristocratic Ward,Lair,Extracted,28,18,5,2,3,3,3,4,34,1692
Immortal,Trench Guns,White,0,Machine Guns,White,0,Wurm Food,6,Foundry Sector,Elite Incursion,Extracted,0,0,0,0,0,1,0,0,2,70
Immortal,Bolt Action Rifles,White,0,Revolvers,Blue,1,Soul Reaper,5,Wilderness,Incursion,Extracted,1,1,0,0,0,3,1,2,1,69
Occultist,Automatic Rifles,White,0,Trench Guns,Purple,1,Korzuul's Head,14,Marketplace,Incursion,Extracted,29,20,4,3,2,2,4,3,9,615
Wraith,Automatic Rifles,Purple,2,Automatic Rifles,Blue,4,Theory of Captivity,5,Foundry Sector,Incursion,Fallen,25,15,4,4,2,2,1,0,31,874
Wraith,Automatic Rifles,Green,2,Bolt Action Rifles,White,0,Lunar Warhorn,8,Military District,Elite Incursion,Fallen,14,9,3,2,0,1,2,3,16,860
Immortal,Machine Guns,White,0,Machine Guns,Green,10,Lunar Warhorn,5,Iron Slums,Incursion,Extracted,16,10,3,2,1,2,2,1,26,829
Immortal,Machine Guns,White,0,Trench Guns,Orange,0,Theory of Captivity,8,Iron Slums,Elite Incursion,Extracted,7,6,1,0,0,0,0,0,3,216
Occultist,Bolt Action Rifles,Green,14,Machine Guns,Orange,0,Lunar Warhorn,12,Aristocratic Ward,Invasion,Fallen,9,7,2,0,0,2,1,0,14,405
Wraith,Trench Guns,Blue,5,Revolvers,Green,9,Farsight,5,Aristocratic Ward,Incursion,Extracted,43,25,9,5,4,0,5,7,29,1360
